id,raceId,constructorId,grid,positionOrder,points,statusId
859,58,2,10,8,1.0,11
860,58,3,11,9,0.0,11
861,58,7,7,10,0.0,11
862,58,3,13,11,0.0,11
863,58,2,22,12,0.0,11
864,58,9,14,13,0.0,11
865,58,9,21,14,0.0,11
866,58,5,15,15,0.0,9
867,58,13,17,16,0.0,13
868,58,8,19,17,0.0,14
874,59,4,1,1,10.0,1
875,59,1,4,2,8.0,1
876,59,9,7,3,6.0,1
877,59,11,5,4,5.0,1
878,59,6,22,5,4.0,1
879,59,4,9,6,3.0,1
880,59,2,15,7,2.0,11
881,59,7,10,8,1.0,11
882,59,6,21,9,0.0,11
883,59,5,12,10,0.0,11
884,59,11,13,11,0.0,11
885,59,13,16,12,0.0,11
886,59,5,18,13,0.0,11
887,59,2,14,14,0.0,11
888,59,13,17,15,0.0,12
889,59,8,20,16,0.0,13
890,59,7,6,17,0.0,9
896,60,4,1,1,10.0,1
897,60,6,3,2,8.0,1
898,60,1,2,3,6.0,1
899,60,4,5,4,5.0,1
900,60,6,4,5,4.0,1
901,60,1,8,6,3.0,1
902,60,2,9,7,2.0,1
903,60,2,10,8,1.0,1
904,60,3,12,9,0.0,1
905,60,11,6,10,0.0,11
906,60,7,22,11,0.0,11
907,60,9,11,12,0.0,11
908,60,5,13,13,0.0,11
909,60,9,14,14,0.0,11
910,60,13,18,15,0.0,11
911,60,13,16,16,0.0,12
912,60,8,20,17,0.0,13
913,60,8,21,18,0.0,13
918,61,4,1,1,10.0,1
919,61,6,5,2,8.0,1
920,61,1,3,3,6.0,1
921,61,4,2,4,5.0,1
922,61,6,10,5,4.0,1
923,61,7,4,6,3.0,11
924,61,2,13,7,2.0,11
925,61,9,22,8,1.0,11
926,61,11,8,9,0.0,11
927,61,5,17,10,0.0,11
928,61,9,12,11,0.0,11
929,61,3,16,12,0.0,11
930,61,5,15,13,0.0,12
931,61,13,18,14,0.0,14
932,61,8,20,15,0.0,3
940,62,6,1,1,10.0,1
941,62,6,2,2,8.0,1
942,62,4,3,3,6.0,1
943,62,7,22,4,5.0,1
944,62,4,5,5,4.0,1
945,62,11,4,6,3.0,1
946,62,9,17,7,2.0,11
947,62,5,20,8,1.0,11
948,62,3,21,9,0.0,11
962,63,6,1,1,10.0,1
963,63,4,3,2,8.0,1
964,63,6,2,3,6.0,1
965,63,7,5,4,5.0,1
966,63,1,6,5,4.0,1
967,63,4,7,6,3.0,1
968,63,1,8,7,2.0,1
969,63,2,11,8,1.0,11
970,63,9,9,9,0.0,11
971,63,5,14,10,0.0,11
972,63,2,16,11,0.0,11
973,63,9,12,12,0.0,11
974,63,5,22,13,0.0,11
975,63,3,18,14,0.0,12
976,63,13,15,15,0.0,12
977,63,8,20,16,0.0,13
984,64,6,2,1,10.0,1
985,64,6,3,2,8.0,1
986,64,1,1,3,6.0,1
987,64,11,4,4,5.0,1
988,64,4,7,5,4.0,1
989,64,4,5,6,3.0,1
990,64,7,20,7,2.0,1
991,64,9,12,8,1.0,1
992,64,7,8,9,0.0,1
993,64,5,16,10,0.0,11
994,64,9,10,11,0.0,11
995,64,5,19,12,0.0,11
1006,65,11,14,1,10.0,1
1007,65,1,4,2,8.0,1
1008,65,2,10,3,6.0,1
1009,65,11,3,4,5.0,1
1010,65,9,12,5,4.0,11
1011,65,7,6,6,3.0,11
1012,65,6,2,7,2.0,11
1013,65,6,11,8,1.0,49
1014,65,13,16,9,0.0,13
1015,65,13,22,10,0.0,13
1016,65,5,20,11,0.0,14
1017,65,7,8,12,0.0,5
1018,65,8,19,13,0.0,15
1028,66,6,1,1,10.0,1
1029,66,4,3,2,8.0,1
1030,66,6,2,3,6.0,1
1031,66,11,6,4,5.0,1
1032,66,1,11,5,4.0,1
1033,66,4,4,6,3.0,1
1034,66,7,15,7,2.0,1
1035,66,11,13,8,1.0,1
1036,66,7,12,9,0.0,11
1037,66,3,9,10,0.0,11
1038,66,9,10,11,0.0,11
1039,66,2,8,12,0.0,11
1040,66,5,17,13,0.0,11
1041,66,2,5,14,0.0,12
1042,66,9,16,15,0.0,6
1050,67,6,2,1,10.0,1
1051,67,1,1,2,8.0,1
1052,67,2,6,3,6.0,1
1053,67,4,9,4,5.0,1
1054,67,11,5,5,4.0,1
1055,67,11,8,6,3.0,1
1056,67,7,11,7,2.0,1
1057,67,2,3,8,1.0,1
1058,67,6,4,9,0.0,1
1059,67,3,19,10,0.0,1
1060,67,9,16,11,0.0,11
1061,67,9,14,12,0.0,11
1062,67,5,15,13,0.0,11
1063,67,5,17,14,0.0,11
1064,67,7,13,15,0.0,11
1065,67,8,21,16,0.0,12
1066,67,14,18,17,0.0,12
1072,68,6,6,1,10.0,1
1073,68,4,1,2,8.0,1
1074,68,4,2,3,6.0,1
1075,68,11,4,4,5.0,1
1076,68,1,7,5,4.0,1
1077,68,11,3,6,3.0,1
1078,68,2,8,7,2.0,1
1079,68,3,14,8,1.0,1
1080,68,9,12,9,0.0,1
1081,68,5,13,10,0.0,11
1082,68,3,15,11,0.0,11
1083,68,9,10,12,0.0,11
1084,68,2,9,13,0.0,11
1085,68,5,11,14,0.0,11
1086,68,14,22,15,0.0,13
1087,68,8,19,16,0.0,14
1094,69,4,5,1,10.0,1
1095,69,6,1,2,8.0,1
1096,69,4,6,3,6.0,1
1097,69,11,7,4,5.0,1
1098,69,1,11,5,4.0,1
1099,69,7,4,6,3.0,1
1100,69,7,3,7,2.0,1
1101,69,2,9,8,1.0,1
1102,69,2,12,9,0.0,1
1103,69,3,10,10,0.0,11
1104,69,1,13,11,0.0,11
1105,69,11,8,12,0.0,11
1106,69,9,18,13,0.0,11
1107,69,5,15,14,0.0,11
1108,69,8,20,15,0.0,11
1109,69,14,21,16,0.0,12
1110,69,8,22,17,0.0,13
1111,69,5,19,18,0.0,38
1116,70,6,1,1,10.0,1
1117,70,4,4,2,8.0,1
1118,70,11,14,3,6.0,1
1119,70,6,10,4,5.0,1
1120,70,1,2,5,4.0,1
1121,70,4,6,6,3.0,1
1122,70,11,5,7,2.0,1
1123,70,1,12,8,1.0,1
1124,70,2,9,9,0.0,1
1125,70,8,19,10,0.0,11
1126,70,5,16,11,0.0,11
1127,70,9,22,12,0.0,11
1128,70,5,15,13,0.0,11
1129,70,14,17,14,0.0,11
1130,70,14,21,15,0.0,12
1131,70,8,20,16,0.0,12
1132,70,2,8,17,0.0,3
1138,71,4,1,1,10.0,1
1139,71,6,11,2,8.0,1
1140,71,4,13,3,6.0,1
1141,71,9,5,4,5.0,1
1142,71,3,3,5,4.0,1
1143,71,1,9,6,3.0,1
1144,71,9,6,7,2.0,1
1145,71,1,10,8,1.0,1
1146,71,7,2,9,0.0,1
1147,71,15,18,10,0.0,1
1149,71,7,15,12,0.0,11
1150,71,15,4,13,0.0,11
1152,71,17,12,15,0.0,12
1153,71,17,14,16,0.0,12
1154,71,18,16,17,0.0,14
1158,72,4,1,1,10.0,1
1159,72,7,2,2,8.0,1
1160,72,3,10,3,6.0,1
